"year","age","maritl","race","education","jobclass","wage"
2008,28,"1. Never Married","1. White","1. < HS Grad","1. Industrial",106.369647181498
2006,50,"2. Married","1. White","4. College Grad","1. Industrial",78.3924668009837
2004,49,"4. Divorced","1. White","2. HS Grad","1. Industrial",NA
2009,39,"2. Married","1. White","2. HS Grad","2. Information",73.7773452719489
2003,26,"1. Never Married","4. Other","4. College Grad","2. Information",NA
2003,31,"1. Never Married","2. Black","3. Some College","2. Information",99.6894636984864
2007,50,"1. Never Married","1. White","2. HS Grad","1. Industrial",NA
2009,62,"2. Married","1. White","5. Advanced Degree","2. Information",170.460165914858
2004,35,"2. Married","1. White","3. Some College","1. Industrial",123.089699847943
2005,22,"1. Never Married","2. Black","3. Some College","2. Information",73.7757432746946
2003,55,"1. Never Married","1. White","5. Advanced Degree","2. Information",110.782650276254
2006,63,"2. Married","1. White","3. Some College","2. Information",125.525498433836
2004,63,"4. Divorced","1. White","2. HS Grad","2. Information",NA
2008,39,"2. Married","1. White","4. College Grad","1. Industrial",95.2307125669819
2003,28,"2. Married","1. White","1. < HS Grad","2. Information",118.884359339886
2006,43,"2. Married","1. White","4. College Grad","2. Information",127.115743812184
2006,58,"2. Married","2. Black","1. < HS Grad","1. Industrial",70.4760196469445
2007,38,"2. Married","1. White","5. Advanced Degree","2. Information",166.324941233877
2004,49,"2. Married","2. Black","3. Some College","1. Industrial",139.156325391862
2003,62,"2. Married","1. White","3. Some College","2. Information",25.2910080971035
2004,36,"2. Married","1. White","3. Some College","2. Information",81.4468348606011
2004,54,"4. Divorced","1. White","4. College Grad","1. Industrial",NA
2005,26,"2. Married","1. White","2. HS Grad","2. Information",116.442318333651
2009,46,"2. Married","3. Asian","5. Advanced Degree","2. Information",166.324941233877
2006,58,"4. Divorced","1. White","3. Some College","1. Industrial",NA
2005,22,"1. Never Married","1. White","3. Some College","2. Information",73.7757432746946
2005,58,"2. Married","1. White","5. Advanced Degree","1. Industrial",277.601417511009
2008,63,"2. Married","1. White","4. College Grad","1. Industrial",136.876367635184
2007,67,"2. Married","2. Black","1. < HS Grad","2. Information",NA
2008,NA,"2. Married","1. White","2. HS Grad","1. Industrial",111.720849360989
2003,51,"2. Married","1. White","4. College Grad","1. Industrial",178.700657207025
2003,46,"2. Married","1. White","2. HS Grad","1. Industrial",49.5553381215226
2007,43,"2. Married","1. White","1. < HS Grad","1. Industrial",82.6796372966372
2004,40,"2. Married","1. White","3. Some College","1. Industrial",73.7757432746946
2008,31,"1. Never Married","1. White","3. Some College","1. Industrial",92.8958447894966
2007,41,"2. Married","1. White","5. Advanced Degree","2. Information",114.475713290347
2008,21,"1. Never Married","2. Black","2. HS Grad","1. Industrial",84.0459576539924
2008,51,"2. Married","1. White","3. Some College","2. Information",76.8936025176112
2003,43,"5. Separated","2. Black","3. Some College","2. Information",NA
2004,34,"2. Married","1. White","3. Some College","2. Information",130.982177377461
2008,45,"2. Married","1. White","3. Some College","1. Industrial",148.413159102577
2008,35,"2. Married","3. Asian","1. < HS Grad","1. Industrial",NA
2004,33,"2. Married","1. White","2. HS Grad","2. Information",NA
2003,46,"2. Married","2. Black","2. HS Grad",NA,94.0727147457005
2003,38,"1. Never Married","2. Black","1. < HS Grad","1. Industrial",94.0727147457005
2004,44,"1. Never Married","2. Black","4. College Grad","2. Information",90.4819133566401
2006,50,"1. Never Married","1. White","2. HS Grad","2. Information",111.721782427997
2009,55,"2. Married","1. White","2. HS Grad","2. Information",107.903923866876
2009,49,"2. Married","1. White","5. Advanced Degree","2. Information",191.573683548412
2006,47,"2. Married","2. Black","5. Advanced Degree",NA,145.143601176911
2003,40,"2. Married","4. Other","2. HS Grad","2. Information",138.639172221569
2003,21,"1. Never Married","1. White","2. HS Grad","1. Industrial",NA
2008,60,"2. Married","2. Black","1. < HS Grad","1. Industrial",93.0534873610655
2008,56,"1. Never Married","1. White","1. < HS Grad","2. Information",81.2832532842527
2004,61,"2. Married","1. White","3. Some College","1. Industrial",128.680488220624
2008,44,"2. Married","1. White","5. Advanced Degree","2. Information",136.15771083723
2007,43,"4. Divorced","1. White","5. Advanced Degree","1. Industrial",NA
2005,29,"2. Married","1. White","3. Some College","1. Industrial",109.833985642199
2003,38,"2. Married","1. White","4. College Grad","2. Information",148.413159102577
2003,26,"1. Never Married","1. White","3. Some College","1. Industrial",108.390640020409
2006,28,"1. Never Married","4. Other","2. HS Grad","1. Industrial",67.1430807546635
2003,38,"1. Never Married","1. White","4. College Grad","2. Information",118.019753340006
2006,45,"4. Divorced","1. White","3. Some College","1. Industrial",NA
2004,39,"2. Married","1. White","2. HS Grad","1. Industrial",47.3389060962716
2003,33,"2. Married","1. White","2. HS Grad","1. Industrial",62.91365496918
2005,44,"2. Married","1. White","1. < HS Grad","1. Industrial",NA
2006,48,"2. Married","1. White","3. Some College","1. Industrial",99.6894636984864
2007,45,"2. Married","1. White","2. HS Grad","1. Industrial",92.7913480810133
2007,56,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2009,40,"1. Never Married","1. White","4. College Grad","2. Information",114.475713290347
2006,71,"2. Married","2. Black","1. < HS Grad","1. Industrial",NA
2006,30,"2. Married","1. White","2. HS Grad","1. Industrial",118.884359339886
2004,45,"2. Married","1. White","4. College Grad","2. Information",148.413159102577
2004,41,"2. Married","1. White","2. HS Grad","1. Industrial",90.4819133566401
2003,40,"2. Married","4. Other","3. Some College","2. Information",118.884359339886
2004,59,"2. Married","1. White","1. < HS Grad","2. Information",89.1678286670778
2007,46,"2. Married","3. Asian","1. < HS Grad","1. Industrial",73.7757432746946
2003,38,"1. Never Married","1. White","2. HS Grad","1. Industrial",NA
2007,26,"2. Married","1. White","3. Some College","1. Industrial",93.4866920429597
2005,53,"2. Married","2. Black","2. HS Grad","2. Information",70.4760196469445
2004,46,"4. Divorced","1. White","4. College Grad","2. Information",NA
2007,42,"2. Married","1. White","3. Some College","1. Industrial",98.5993438603892
2006,28,"1. Never Married","2. Black","3. Some College","1. Industrial",54.5981500331442
2004,30,"1. Never Married","1. White","1. < HS Grad","1. Industrial",86.6951548289402
2008,34,"2. Married","3. Asian","4. College Grad","2. Information",118.884359339886
2008,46,"2. Married","1. White","4. College Grad","1. Industrial",160.642475408263
2007,22,"1. Never Married","1. White","3. Some College","1. Industrial",59.0970640815891
2007,37,"1. Never Married","1. White","2. HS Grad","2. Information",92.7295279091354
2008,27,"2. Married","1. White","3. Some College","1. Industrial",63.1888610037461
2008,52,"2. Married","1. White","2. HS Grad","2. Information",114.475713290347
2008,43,"2. Married","1. White","2. HS Grad","1. Industrial",65.1108537153447
2004,52,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2005,54,"1. Never Married","2. Black","3. Some College","2. Information",109.489841452174
2007,47,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2005,21,"1. Never Married","2. Black","3. Some College","2. Information",105.927810775063
2005,42,"2. Married","1. White","4. College Grad","2. Information",134.705375118879
2003,72,"2. Married","1. White","5. Advanced Degree","2. Information",189.244162932803
2003,38,"2. Married","3. Asian","2. HS Grad","2. Information",104.921506533664
2009,53,"2. Married","1. White","2. HS Grad","1. Industrial",82.6796372966372
2006,35,"5. Separated","1. White","3. Some College","2. Information",81.2832532842527
2008,60,"2. Married","1. White","2. HS Grad","1. Industrial",76.8936025176112
2003,39,"2. Married","1. White","2. HS Grad","2. Information",85.3839403789827
2005,45,"4. Divorced","2. Black","2. HS Grad","2. Information",NA
2008,61,"2. Married","1. White","2. HS Grad","2. Information",106.608021493532
2008,64,"4. Divorced","1. White","2. HS Grad","2. Information",NA
2004,39,"2. Married","3. Asian","1. < HS Grad","1. Industrial",NA
2007,46,"2. Married","2. Black","3. Some College","2. Information",105.927810775063
2008,25,"1. Never Married","2. Black","3. Some College","2. Information",56.4538649754188
2003,80,"2. Married","1. White","3. Some College","2. Information",94.0727147457005
2008,51,"4. Divorced","1. White","3. Some College","1. Industrial",NA
2004,58,"2. Married","1. White","2. HS Grad","1. Industrial",75.0431540173515
2009,52,"2. Married","1. White","3. Some College","1. Industrial",118.884359339886
2004,45,"2. Married","1. White","5. Advanced Degree","2. Information",138.299126920883
2007,41,"1. Never Married","1. White","3. Some College","1. Industrial",99.6894636984864
2004,42,"2. Married","1. White","2. HS Grad","1. Industrial",95.2307125669819
2008,31,"1. Never Married","1. White","3. Some College","1. Industrial",94.0727147457005
2004,49,"4. Divorced","1. White","2. HS Grad","2. Information",NA
2009,47,"4. Divorced","1. White","2. HS Grad","1. Industrial",NA
2005,39,"2. Married","1. White","2. HS Grad","2. Information",87.9810327856054
2006,53,"2. Married","1. White","4. College Grad","2. Information",109.833985642199
2003,37,"2. Married","1. White","2. HS Grad","1. Industrial",85.3839403789827
2003,52,"2. Married","1. White","4. College Grad","1. Industrial",191.573683548412
2006,41,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2006,39,"2. Married","3. Asian","4. College Grad","2. Information",148.413159102577
2009,63,"2. Married","1. White","5. Advanced Degree","2. Information",171.765132627508
2007,23,"1. Never Married","1. White","2. HS Grad","1. Industrial",73.4544282607621
2004,62,"2. Married","2. Black","2. HS Grad","2. Information",NA
2004,43,"2. Married","1. White","5. Advanced Degree","2. Information",272.294783220064
2004,29,"1. Never Married","2. Black","2. HS Grad","1. Industrial",NA
2004,43,"2. Married","3. Asian","5. Advanced Degree","2. Information",160.642475408263
2008,34,"2. Married","2. Black","4. College Grad","2. Information",123.089699847943
2003,38,"2. Married","3. Asian","5. Advanced Degree","2. Information",91.6992261117042
2005,25,"1. Never Married","1. White","4. College Grad","2. Information",85.3839403789827
2005,64,"2. Married","2. Black","2. HS Grad","2. Information",109.833985642199
2003,49,"2. Married","1. White","4. College Grad","1. Industrial",114.475713290347
2009,46,"2. Married","1. White","4. College Grad","1. Industrial",84.3157688645753
2006,30,"2. Married","1. White","5. Advanced Degree","2. Information",114.475713290347
2003,33,"1. Never Married","1. White","3. Some College","1. Industrial",57.3525910796177
2007,29,"2. Married","1. White","4. College Grad","2. Information",104.921506533664
2008,32,"2. Married","1. White","2. HS Grad","2. Information",125.525498433836
2007,54,"2. Married","1. White","2. HS Grad","2. Information",NA
2005,40,"1. Never Married",NA,"2. HS Grad","1. Industrial",65.1108537153447
2005,24,"1. Never Married","1. White","4. College Grad","1. Industrial",109.833985642199
2008,30,"5. Separated","1. White","1. < HS Grad","1. Industrial",NA
2009,49,"2. Married","1. White","4. College Grad","1. Industrial",145.143601176911
2006,47,"2. Married","4. Other","2. HS Grad","1. Industrial",NA
2008,25,"1. Never Married","2. Black","2. HS Grad","1. Industrial",84.0459576539924
2007,44,"2. Married","1. White","3. Some College","1. Industrial",134.705375118879
2007,41,"4. Divorced","1. White","1. < HS Grad","2. Information",NA
2005,54,"5. Separated","1. White","4. College Grad","1. Industrial",NA
2009,59,"2. Married","1. White","5. Advanced Degree","2. Information",200.543262324662
2003,25,"1. Never Married","1. White","2. HS Grad","1. Industrial",59.7342233407467
2009,63,"2. Married","2. Black","5. Advanced Degree","1. Industrial",91.6992261117042
2009,49,"1. Never Married","1. White","3. Some College","2. Information",109.833985642199
2008,35,"5. Separated","2. Black","3. Some College","2. Information",NA
2006,24,"1. Never Married","3. Asian","2. HS Grad","1. Industrial",66.2294082943902
2003,66,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2008,57,"2. Married","4. Other","1. < HS Grad","1. Industrial",94.0727147457005
2003,47,"2. Married","1. White","4. College Grad","2. Information",118.884359339886
2006,44,"2. Married","1. White","4. College Grad","1. Industrial",132.487821126123
2006,56,"2. Married","1. White","4. College Grad","1. Industrial",127.115743812184
2004,34,"2. Married","1. White","2. HS Grad","2. Information",99.6894636984864
2006,23,"2. Married","1. White","1. < HS Grad","1. Industrial",NA
2008,30,"2. Married","1. White","4. College Grad","1. Industrial",138.299126920883
2004,38,"2. Married","1. White","3. Some College","1. Industrial",102.870246933215
2004,43,"2. Married","2. Black","1. < HS Grad","2. Information",79.8549003093467
2007,58,"4. Divorced","1. White","3. Some College","2. Information",NA
2005,36,"2. Married","1. White","2. HS Grad","1. Industrial",62.198679430261
2007,48,"1. Never Married","1. White","2. HS Grad","2. Information",NA
2005,35,"2. Married",NA,"2. HS Grad","2. Information",86.0428011301927
2006,22,"1. Never Married","1. White","2. HS Grad","2. Information",NA
2007,50,"2. Married","1. White","4. College Grad","2. Information",113.567089569751
2004,58,"2. Married","1. White","1. < HS Grad","1. Industrial",100.764272842107
2003,20,"1. Never Married","1. White","2. HS Grad","2. Information",61.1875264339915
2007,44,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2003,50,"2. Married","3. Asian","4. College Grad","2. Information",134.705375118879
2009,55,"2. Married","1. White","2. HS Grad","1. Industrial",104.923531700709
2003,39,"1. Never Married","1. White","2. HS Grad","2. Information",109.833985642199
2008,32,"1. Never Married","1. White","4. College Grad","2. Information",276.778413321176
2008,50,"2. Married","1. White","4. College Grad","2. Information",148.413159102577
2009,24,"2. Married","1. White","1. < HS Grad","1. Industrial",148.413159102577
2009,53,"2. Married","1. White","3. Some College","2. Information",109.833985642199
2003,35,"2. Married","1. White","2. HS Grad","2. Information",81.2832532842527
2003,25,"1. Never Married","1. White","1. < HS Grad","2. Information",79.8549003093467
2006,24,"1. Never Married","3. Asian","4. College Grad","1. Industrial",109.833985642199
2005,57,"5. Separated","1. White","4. College Grad","1. Industrial",148.413159102577
2005,43,"2. Married","1. White","1. < HS Grad","2. Information",NA
2009,33,"2. Married","1. White","3. Some College","2. Information",88.2986994723057
2005,40,"2. Married","1. White","3. Some College","2. Information",91.6992261117042
2008,39,"1. Never Married","1. White","4. College Grad","1. Industrial",73.7757432746946
2004,32,"2. Married","1. White","5. Advanced Degree","2. Information",70.4760196469445
2005,48,"4. Divorced","1. White","4. College Grad","2. Information",128.680488220624
2004,29,"2. Married","1. White","5. Advanced Degree","1. Industrial",94.0727147457005
2005,35,"4. Divorced","1. White","4. College Grad","1. Industrial",98.5993438603892
2004,41,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2009,52,"2. Married","1. White","2. HS Grad","1. Industrial",134.705375118879
2005,50,"2. Married","1. White","2. HS Grad","1. Industrial",91.6992261117042
2004,35,"2. Married","3. Asian","4. College Grad","2. Information",160.635498596854
2007,27,"2. Married","1. White","3. Some College","1. Industrial",99.6894636984864
2004,57,"2. Married","1. White","5. Advanced Degree","1. Industrial",114.475713290347
2004,48,"2. Married","1. White","3. Some College","2. Information",97.4932940453934
2009,41,"4. Divorced","2. Black","3. Some College","2. Information",NA
2005,59,"2. Married","1. White","5. Advanced Degree","2. Information",104.921506533664
2003,55,"2. Married","1. White","4. College Grad","2. Information",109.833985642199
2005,54,"4. Divorced","1. White","2. HS Grad","2. Information",NA
2003,34,"2. Married","1. White","5. Advanced Degree","1. Industrial",118.884359339886
2009,43,"1. Never Married","1. White","2. HS Grad","2. Information",73.7757432746946
2003,43,"4. Divorced","2. Black","4. College Grad","2. Information",NA
2003,62,"3. Widowed","1. White","1. < HS Grad","1. Industrial",62.0303046060726
2006,45,"1. Never Married","1. White","2. HS Grad","2. Information",NA
2004,40,"2. Married","1. White","4. College Grad","1. Industrial",145.805163374625
2003,33,"2. Married","1. White","2. HS Grad","2. Information",NA
2005,45,"2. Married","1. White","5. Advanced Degree","2. Information",148.413159102577
2009,21,"1. Never Married","1. White","3. Some College","1. Industrial",49.5553381215226
2009,54,"2. Married","3. Asian","1. < HS Grad","1. Industrial",73.7757432746946
2003,43,"2. Married","1. White",NA,"1. Industrial",73.7757432746946
2004,54,"2. Married","1. White","4. College Grad","1. Industrial",127.115743812184
2004,35,"2. Married","1. White","1. < HS Grad","1. Industrial",NA
2008,23,"1. Never Married","1. White","3. Some College","1. Industrial",61.5945831752282
2006,61,"3. Widowed","1. White","2. HS Grad","1. Industrial",NA
2004,51,"4. Divorced","1. White","4. College Grad","1. Industrial",NA
2006,43,"2. Married","1. White","3. Some College","1. Industrial",127.115743812184
2003,20,"1. Never Married","1. White","2. HS Grad","1. Industrial",NA
2007,51,"2. Married","4. Other","3. Some College","1. Industrial",139.00340805947
2009,65,"2. Married","1. White","2. HS Grad","2. Information",118.884359339886
2009,37,"2. Married","1. White","2. HS Grad","1. Industrial",109.833985642199
2008,24,"1. Never Married","1. White","2. HS Grad","1. Industrial",NA
2003,36,"2. Married","1. White","2. HS Grad","1. Industrial",73.2930820722881
2005,45,"2. Married","1. White","3. Some College","2. Information",130.982177377461
2008,33,"2. Married","1. White","5. Advanced Degree","2. Information",276.778413321176
2009,36,"4. Divorced","1. White","2. HS Grad","1. Industrial",NA
2004,32,"2. Married","1. White","2. HS Grad","1. Industrial",109.833985642199
2009,45,"2. Married","1. White","2. HS Grad","1. Industrial",118.884359339886
2003,51,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2005,33,"2. Married","1. White","3. Some College","2. Information",136.876367635184
2003,47,"4. Divorced","1. White","3. Some College","1. Industrial",84.0459576539924
2003,37,"2. Married","1. White","5. Advanced Degree","2. Information",196.125272594255
2008,41,"2. Married","1. White","3. Some College","2. Information",121.430313822622
2005,23,"1. Never Married","1. White","2. HS Grad","2. Information",96.3977959023552
2009,57,"2. Married","1. White","4. College Grad","1. Industrial",128.680488220624
2006,61,"2. Married","1. White","5. Advanced Degree","2. Information",148.413159102577
2007,47,"4. Divorced","1. White","3. Some College","1. Industrial",NA
2003,29,"2. Married","3. Asian","4. College Grad","2. Information",87.9810327856054
2005,37,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2005,57,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2004,39,"1. Never Married","1. White","5. Advanced Degree","2. Information",81.2832532842527
2007,59,"2. Married","1. White","4. College Grad","2. Information",145.805163374625
2007,31,"2. Married","1. White","4. College Grad","2. Information",149.055895589404
2009,26,"1. Never Married","1. White","2. HS Grad","1. Industrial",NA
2009,51,"2. Married","1. White","2. HS Grad","1. Industrial",118.019753340006
2006,38,"2. Married","1. White","2. HS Grad","1. Industrial",99.6894636984864
2006,51,"2. Married","1. White","4. College Grad","2. Information",118.884359339886
2004,50,"2. Married","1. White","2. HS Grad","2. Information",79.8549003093467
2005,32,"2. Married","1. White","5. Advanced Degree","1. Industrial",118.884359339886
2007,38,"2. Married","1. White","4. College Grad","2. Information",160.642475408263
2005,49,"2. Married","1. White","2. HS Grad","1. Industrial",176.989650489877
2005,40,"1. Never Married","1. White","3. Some College","2. Information",73.7757432746946
2007,60,"2. Married","3. Asian","5. Advanced Degree","2. Information",154.68529299563
2007,30,"1. Never Married","1. White","4. College Grad","2. Information",101.82435207568
2003,41,"2. Married","1. White","4. College Grad","2. Information",130.982177377461
2009,32,"1. Never Married","1. White","3. Some College","2. Information",114.475713290347
2009,26,"1. Never Married","1. White","4. College Grad","2. Information",105.927810775063
2004,41,"2. Married","1. White","3. Some College","1. Industrial",81.2832532842527
2008,53,"2. Married","1. White","2. HS Grad","1. Industrial",134.705375118879
2005,35,"2. Married","1. White","3. Some College","2. Information",97.4932940453934
2008,50,"2. Married","1. White","2. HS Grad","1. Industrial",109.833985642199
2004,43,"2. Married","1. White","4. College Grad","2. Information",171.765132627508
2003,50,"5. Separated","1. White","2. HS Grad","2. Information",NA
2009,19,"1. Never Married","2. Black","2. HS Grad","2. Information",NA
2004,42,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2007,53,"2. Married","3. Asian","2. HS Grad","1. Industrial",66.9616443217359
2004,22,"1. Never Married","2. Black","3. Some College","2. Information",95.2307125669819
2003,49,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2005,33,"1. Never Married","1. White","2. HS Grad","1. Industrial",109.833985642199
2005,31,"1. Never Married","1. White","2. HS Grad","1. Industrial",NA
2004,43,"2. Married","1. White","1. < HS Grad","1. Industrial",90.4819133566401
2009,57,"2. Married","1. White","5. Advanced Degree","2. Information",109.833985642199
2005,40,"2. Married","1. White","5. Advanced Degree","2. Information",148.413159102577
2003,48,"2. Married","1. White","2. HS Grad","2. Information",84.5294690248517
2004,46,"2. Married","1. White","4. College Grad","1. Industrial",101.82435207568
2009,58,"2. Married","1. White","4. College Grad","1. Industrial",104.921506533664
2003,50,"2. Married","1. White","1. < HS Grad","1. Industrial",104.921506533664
2005,38,"2. Married","1. White","3. Some College","2. Information",99.6894636984864
2004,33,"1. Never Married","1. White","5. Advanced Degree","2. Information",101.402052302992
2007,52,"2. Married","1. White","3. Some College","2. Information",149.055895589404
2004,48,"2. Married","1. White","1. < HS Grad","1. Industrial",NA
2006,53,"2. Married","1. White","5. Advanced Degree","2. Information",160.642475408263
2008,37,"1. Never Married","1. White","3. Some College","2. Information",118.884359339886
2007,43,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2008,54,"2. Married","1. White","3. Some College","1. Industrial",107.903923866876
2004,41,"2. Married","1. White","5. Advanced Degree","2. Information",154.868367231559
2005,57,"2. Married","1. White","4. College Grad","1. Industrial",75.3556793180091
2007,54,"2. Married","1. White","5. Advanced Degree","1. Industrial",118.539502533774
2009,25,"4. Divorced","1. White","2. HS Grad","1. Industrial",NA
2003,35,"5. Separated","1. White","1. < HS Grad","2. Information",NA
2008,29,"2. Married","1. White","3. Some College","1. Industrial",182.020620963512
2009,36,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2005,43,"2. Married","1. White","4. College Grad","1. Industrial",141.77517233318
2007,41,"2. Married","1. White","4. College Grad","2. Information",186.876677628007
2003,52,"2. Married","1. White","4. College Grad","1. Industrial",72.1504556815713
2005,48,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2003,51,"2. Married","2. Black","2. HS Grad","2. Information",81.2832532842527
2004,55,"2. Married","1. White","3. Some College","2. Information",118.884359339886
2004,37,"2. Married","1. White","5. Advanced Degree","2. Information",97.4932940453934
2007,48,"1. Never Married","1. White","3. Some College","1. Industrial",111.720849360989
2003,42,"2. Married","1. White","1. < HS Grad","1. Industrial",NA
2007,43,"2. Married","1. White","4. College Grad","1. Industrial",127.115743812184
2006,32,"2. Married","1. White","2. HS Grad","1. Industrial",87.9810327856054
2006,33,"1. Never Married","1. White","4. College Grad","1. Industrial",84.0459576539924
2003,48,"2. Married","1. White","2. HS Grad","1. Industrial",78.3924668009837
2009,20,"1. Never Married","2. Black","3. Some College","2. Information",46.3665027412862
2005,43,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2003,58,"4. Divorced","2. Black","2. HS Grad","2. Information",NA
2004,38,"2. Married","1. White","3. Some College","1. Industrial",NA
2008,23,"1. Never Married","1. White","2. HS Grad","2. Information",66.2294082943902
2009,54,"4. Divorced","1. White","2. HS Grad","1. Industrial",NA
2007,66,"2. Married","1. White","5. Advanced Degree","1. Industrial",99.6894636984864
2009,47,"2. Married","1. White","5. Advanced Degree","2. Information",152.838800991182
2003,35,"2. Married","1. White","3. Some College","2. Information",76.8936025176112
2008,39,"2. Married","1. White","2. HS Grad","1. Industrial",143.134940811134
2005,35,"1. Never Married","2. Black","3. Some College","2. Information",125.20428658029
2006,40,"2. Married","1. White","3. Some College","1. Industrial",75.610695863947
2006,41,"2. Married","3. Asian","2. HS Grad","1. Industrial",NA
2004,40,"2. Married","1. White","5. Advanced Degree","2. Information",176.989650489877
2006,50,"2. Married","2. Black","2. HS Grad","1. Industrial",59.0970640815891
2004,35,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2009,43,"2. Married","1. White","3. Some College","1. Industrial",95.2307125669819
2005,26,"1. Never Married","1. White","3. Some College","2. Information",104.921506533664
2009,23,"1. Never Married","1. White","2. HS Grad","2. Information",NA
2003,61,"2. Married","1. White","5. Advanced Degree","2. Information",130.982177377461
2004,24,"1. Never Married","1. White","4. College Grad","2. Information",43.7351116779821
2006,66,"2. Married","2. Black","3. Some College","2. Information",118.884359339886
2006,50,"3. Widowed","1. White","2. HS Grad",NA,NA
2005,22,"1. Never Married","1. White","2. HS Grad","2. Information",75.0431540173515
2004,62,"2. Married","2. Black","2. HS Grad","2. Information",NA
2003,55,"2. Married","1. White","4. College Grad","2. Information",105.927810775063
2004,41,"2. Married","1. White","4. College Grad","1. Industrial",73.7757432746946
2005,54,"2. Married","1. White","4. College Grad","2. Information",170.156834417801
2009,29,"2. Married","3. Asian","4. College Grad","1. Industrial",138.299126920883
2004,39,"2. Married","2. Black","2. HS Grad","1. Industrial",101.82435207568
2006,71,"4. Divorced","1. White","4. College Grad","2. Information",NA
2003,NA,"1. Never Married","1. White","4. College Grad","1. Industrial",78.3924668009837
2007,48,"2. Married","1. White","4. College Grad","2. Information",123.089699847943
2009,35,"2. Married","1. White","3. Some College","1. Industrial",116.265324062503
2003,46,"2. Married","1. White","4. College Grad","1. Industrial",90.4819133566401
2003,51,"2. Married","1. White","1. < HS Grad","1. Industrial",109.833985642199
2005,55,"2. Married","1. White","2. HS Grad","2. Information",104.921506533664
2005,36,"2. Married","1. White","2. HS Grad","2. Information",118.884359339886
2008,57,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2005,21,"2. Married","1. White","2. HS Grad","1. Industrial",NA
2006,60,"2. Married","1. White","5. Advanced Degree","2. Information",128.680488220624
2006,41,"1. Never Married","2. Black","3. Some College","1. Industrial",73.7757432746946
2004,56,"2. Married","1. White","4. College Grad","2. Information",139.353811767493
2005,32,"1. Never Married","1. White","4. College Grad","2. Information",94.0727147457005
2003,32,"2. Married","1. White","2. HS Grad","1. Industrial",73.7757432746946
2006,36,"4. Divorced","1. White","3. Some College","1. Industrial",NA
2006,28,"1. Never Married","1. White","2. HS Grad","1. Industrial",64.5420748732979
2009,60,"2. Married","1. White","5. Advanced Degree","2. Information",138.299126920883
2003,41,"2. Married","1. White","3. Some College","2. Information",89.2428846644714
2006,55,"2. Married","1. White","3. Some College","1. Industrial",99.6894636984864
2003,36,"2. Married","2. Black","3. Some College","1. Industrial",109.833985642199
2006,46,"1. Never Married","2. Black","3. Some College","2. Information",90.4819133566401
2008,62,"2. Married","1. White","2. HS Grad","1. Industrial",89.4924795180001
2006,44,"2. Married","1. White","2. HS Grad","1. Industrial",102.766280877288
2006,36,"2. Married","1. White","4. College Grad","1. Industrial",118.884359339886
2004,41,"2. Married","1. White","2. HS Grad","2. Information",148.413159102577
2006,22,"1. Never Married","1. White","4. College Grad","2. Information",114.475713290347
2008,51,"2. Married","1. White","5. Advanced Degree","2. Information",129.983634818897
2008,57,"2. Married","1. White","1. < HS Grad","2. Information",110.782650276254
2005,55,"2. Married","1. White","2. HS Grad","2. Information",114.475713290347
2003,36,"2. Married","1. White","4. College Grad","2. Information",148.413159102577
2008,43,"2. Married","1. White","5. Advanced Degree","2. Information",276.778413321176
2003,38,"2. Married","1. White","3. Some College","2. Information",23.9529444789965
2006,27,"1. Never Married","1. White","3. Some College","2. Information",103.90247060316
2007,32,"2. Married","1. White","3. Some College","1. Industrial",118.884359339886
2009,44,"1. Never Married","1. White","1. < HS Grad","1. Industrial",71.6867436659172
2008,56,"2. Married","3. Asian","4. College Grad","1. Industrial",276.778413321176
2007,38,"2. Married","2. Black","4. College Grad","2. Information",141.77517233318
2003,36,"2. Married","1. White","1. < HS Grad","1. Industrial",NA
2005,28,"1. Never Married","1. White","3. Some College","1. Industrial",108.874525834712
2005,39,"2. Married","1. White","2. HS Grad","1. Industrial",79.8549003093467
2008,42,"1. Never Married","2. Black","2. HS Grad","2. Information",78.9846061809321
2009,51,"2. Married","1. White","1. < HS Grad","1. Industrial",82.6796372966372
2004,55,"2. Married","2. Black","2. HS Grad","2. Information",89.4924795180001
2007,39,"1. Never Married","1. White",NA,"2. Information",130.982177377461
2003,42,"2. Married","1. White","1. < HS Grad","1. Industrial",109.706051812711
2006,33,"2. Married","2. Black","5. Advanced Degree","2. Information",117.146816914805
2008,23,"1. Never Married","1. White","2. HS Grad","2. Information",NA
